,ID,LATNUM,LONGNUM
2297,CD2013_152,"-7,265548","26,751028"
2298,CD2013_153,"-6,577556","25,746940"
2302,CD2013_158,"-4,347005","15,265253"
2304,CD2013_160,"-5,373338","22,190760"
2305,CD2013_161,"-7,558661","22,553592"
2308,CD2013_166,"-6,206739","23,577137"
2310,CD2013_168,"-6,497538","22,161436"
2312,CD2013_17,"-3,968973","17,691720"
2314,CD2013_171,"-3,149225","28,285766"
2318,CD2013_180,"-5,837224","13,473603"
2319,CD2013_181,"-4,296087","27,102250"
2320,CD2013_183,"-1,274888","18,062523"
2325,CD2013_188,"-4,747202","13,076899"
2326,CD2013_19,"-5,302383","12,542507"
2327,CD2013_191,"-4,445218","15,451764"
2328,CD2013_192,"-4,357829","15,318846"
2334,CD2013_201,"-3,870098","26,823649"
2339,CD2013_206,"-4,387896","15,398085"
2340,CD2013_207,"-5,852902","17,256013"
2343,CD2013_210,"-5,349280","16,644730"
2344,CD2013_211,"-4,377253","15,314786"
2349,CD2013_218,"-4,398045","15,412567"
2350,CD2013_22,"1,845528","30,717755"
2352,CD2013_221,"-3,530395","17,295222"
2354,CD2013_226,"-9,210254","25,856459"
2358,CD2013_232,"-5,211906","15,375346"
2359,CD2013_233,"-0,203947","29,158049"
2364,CD2013_238,"-9,459582","25,914888"
2367,CD2013_242,"-4,624194","14,169319"
2368,CD2013_243,"-4,355323","15,233769"
2373,CD2013_248,"1,592727","25,336812"
2374,CD2013_249,"-6,126530","23,564293"
2375,CD2013_250,"-8,735631","24,984958"
2379,CD2013_257,"-5,464976","15,370090"
2382,CD2013_26,"0,467484","25,530755"
2383,CD2013_261,"-4,326207","15,326010"
2386,CD2013_265,"-5,946134","28,027841"
2388,CD2013_267,"-4,522841","14,100362"
2390,CD2013_270,"-1,470583","26,445709"
2393,CD2013_273,"-4,934852","14,135209"
2398,CD2013_28,"-5,059481","15,126617"
2402,CD2013_284,"-5,807474","13,058311"
2403,CD2013_285,"-0,728697","18,135530"
2405,CD2013_287,"-4,367844","15,292475"
2412,CD2013_296,"-5,650048","25,705903"
2413,CD2013_297,"-0,753271","18,122210"
2415,CD2013_3,"-4,396131","15,352401"
2417,CD2013_301,"-4,348530","15,219063"
2418,CD2013_302,"-2,756775","22,592029"
2420,CD2013_304,"-4,331500","15,300681"
2422,CD2013_308,"-1,629035","27,109588"
2429,CD2013_316,"-10,729997","25,465720"
2430,CD2013_317,"-4,355511","15,328969"
2431,CD2013_318,"-2,961457","25,906777"
2432,CD2013_321,"-4,377234","15,318822"
2433,CD2013_325,"-4,379511","15,309661"
2437,CD2013_332,"-0,171779","29,242112"
2439,CD2013_334,"-4,385414","15,266999"
2443,CD2013_34,"-4,388355","15,376346"
2449,CD2013_35,"-8,281321","25,259371"
2450,CD2013_350,"-4,434677","15,303574"
2452,CD2013_352,"-4,419013","15,282931"
2453,CD2013_354,"-3,015876","16,938626"
2460,CD2013_362,"-4,803524","17,038616"
2462,CD2013_366,"-9,929277","24,621210"
2467,CD2013_370,"-4,405809","15,382643"
2469,CD2013_374,"-4,179121","26,889418"
2470,CD2013_376,"-4,950161","12,960852"
2473,CD2013_379,"-6,142809","20,590944"
2474,CD2013_380,"-4,414710","15,334627"
2475,CD2013_381,"-6,869602","20,974928"
2479,CD2013_392,"1,581031","30,250097"
2481,CD2013_394,"-1,186530","23,234779"
2482,CD2013_396,"-9,963883","25,972500"
2483,CD2013_397,"-6,451841","21,324016"
2485,CD2013_399,"-2,975202","25,943444"
2489,CD2013_401,"-6,141427","23,599592"
2490,CD2013_402,"-5,341996","14,218269"
2491,CD2013_403,"-6,513172","17,256071"
2492,CD2013_404,"-4,381173","15,281443"
2493,CD2013_405,"-6,113958","23,560073"
2495,CD2013_408,"-4,066919","26,255537"
